'a'ba'gai'xin'zao 阿巴盖新蚤
'can'ye'e'shu 灿夜蛾属
'can'yuan'li'yan'pi 残缘璃眼蜱
'can'zhai'jing'jian'feng 灿窄径茧蜂
'can'zhou'e'shu 蚕舟蛾属
'cang'bai'ban'min'zhu 苍白斑皿蛛
'cang'bai'chi'yan'feng 苍白赤眼蜂
'cang'bai'gen'jing'xiang 苍白根颈象
'cang'bai'ji'ma 苍白蓟马
'cang'bai'ma'meng 苍白麻虻
'cang'bai'qiu'zhu 苍白球蛛
'cang'bai'wei'hui'ying 苍白尾秽蝇
'cang'bai'you'cao'zhong 苍白优草螽
'cang'ban'chi'mu'shi 藏半翅木虱
'cang'cao'ling'shu 藏草蛉属
'cang'chang'huang'hu'feng 藏长黄胡蜂
'cang'chun'shu 苍蝽属
'cang'chun'shu 藏蝽属
'cang'cong 藏蟌
'cang'da'cao'ling 藏大草蛉
'cang'dai'xiong'feng 藏带熊蜂
'cang'dan'tu'si'wei'sou 藏单突丝尾螋
'cang'dian'huang 藏巅蝗
'cang'duan'gang 藏短肛
'cang'e'di'feng'ji'feng 仓蛾低缝姬蜂
'cang'e'ji'feng 仓蛾姬蜂
'cang'hua'chun 仓花蝽
'cang'hua'chun'shu 仓花蝽属
'cang'hua'chun'zu 仓花蝽族
'cang'huang'ban'guo'luo 藏黄斑蜾蠃
'cang'huang'shu 藏蝗属
'cang'hui'die'shu 仓灰蝶属
'cang'jia'wei'chong 藏铗尾虫
'cang'jie'shu 苍蚧属
'cang'kang 藏康
'cang'kuan'fu 藏宽腹
'cang'liao'ying'mian'ya 藏蓼瘿绵蚜
'cang'lin'ya'jin'xiao'feng 仓廪雅金小蜂
'cang'liu'chang'zhi'da'ya 藏柳长痣大蚜
'cang'liu'fen'mao'ya 藏柳粉毛蚜
'cang'nong'die'shu 苍弄蝶属
'cang'nuo'chang'chun 藏挪长蝽
'cang'qiu'bei'wang'chun 藏球背网蝽
'cang'shan'li'mu'shi 苍山梨木虱
'cang'shan'ni'yi'yuan 苍山拟异蚖
'cang'shan'ping'ding'tang 苍山屏顶螳
'cang'shu 藏属
'cang'shu'jia'xie'shi 仓鼠甲胁虱
'cang'shu'yi'shan'pi 仓鼠异扇蜱
'cang'shuang'huan'lie'chun 仓双环猎蝽
'cang'tong'cao'ling 藏通草蛉
'cang'tu'wei'shan'cong 藏凸尾山蟌
'cang'xi'ji'chun 藏希姬蝽
'cang'ya'ling'xi 藏哑蛉蟋
'cang'yan'die'shu 苍眼蝶属
'cang'yan'die'shu 藏眼蝶属
'cang'yan'qiu'sou 藏燕球螋
'cang'ye 藏叶
'cang'ye'ying'mian'ya 藏叶瘿绵蚜
'cang'yi'huang 藏屹蝗
'cang'yi'mai'he'ling 藏异脉褐蛉
'cang'yuan'shu 藏蚖属
'cang'zhi'ying'mian'ya 藏枝瘿绵蚜
'cang'zhu'e'shu 苍祝蛾属
'cao'bai'xiao'ye'chan 草白小叶蝉
'cao'bai'yi'shu 草白蚁属
'cao'bai'yi'ya'ke 草白蚁亚科
'cao'bing'chang'ti'jian'feng 漕柄长体茧蜂
'cao'cha'cao'ling 槽叉草蛉
'cao'chan'shu 草蝉属
'cao'chang'jia'die'shu 草场蛱蝶属
'cao'chun 草蝽
'cao'chun'shu 草蝽属
'cao'di'chi'ao'zhu 草地齿螯蛛
'cao'di'huang'shu 草地蝗属
'cao'di'juan'die 草地绢蝶
'cao'di'sheng'rui 草地绳蚋
'cao'di'yi 草地蚁
'cao'diao'chi'e'shu 草雕翅蛾属
'cao'du'e'shu 草毒蛾属
'cao'dun'ge'pi 糙盾革蜱
'cao'e'ke 草蛾科
'cao'e'shu 草蛾属
'cao'e'ya'ke 草蛾亚科
'cao'fen'jie'shu 草粉蚧属
'cao'feng'fen'jie 草峰粉蚧
'cao'feng'kou'jia'shu 槽缝叩甲属
'cao'feng'kou'jia'ya'ke 槽缝叩甲亚科
'cao'fu'da'zhi'jin'xiao'feng 糙腹大痣金小蜂
'cao'fu'lian'chi'jian'feng 漕腹连翅茧蜂
'cao'fu'xi'meng'yi 糙腹细猛蚁
'cao'gen'gui'dun'jie 草根贵盾蚧
'cao'gou'xiang'e'ji'feng 槽沟镶颚姬蜂
'cao'hong'ji'ma 草红蓟马
'cao'hong'que'chi'ji'ma 草红缺翅蓟马
'cao'ji'feng'zu 槽姬蜂族
'cao'ji'ma'shu 草蓟马属
'cao'jia'die'shu 草蛱蝶属
'cao'jia'zhu'tao'mang'chun 草荚竹桃盲蝽
'cao'jian'mou'zhu 草间蟱蛛
'cao'jian'zuan'tou'zhu 草间钻头蛛
'cao'jie'cu'jiao'meng'yi 槽节粗角猛蚁
'cao'jing'ye'chan'shu 槽胫叶蝉属
'cao'jing'zhong'shu 糙颈螽属
'cao'ke'bing'jin'xiao'feng 糙刻柄金小蜂
'cao'ke'jin'xiao'feng'shu 糙刻金小蜂属
'cao'ke'xia'chi'jin'xiao'feng 糙刻狭翅金小蜂
'cao'lian'shu 糙蠊属
'cao'ling'hei'luan'feng 草蛉黑卵蜂
'cao'ling'ji'feng'shu 草蛉姬蜂属
'cao'ling'ji'feng'zu 草蛉姬蜂族
'cao'ling'jian'feng'shu 草蛉茧蜂属
'cao'ling'ke 草蛉科
'cao'ling'shu 草蛉属
'cao'ling'tiao'xiao'feng'shu 草蛉跳小蜂属
'cao'ling'ya'ke 草蛉亚科
'cao'ling'ya'tiao'xiao'feng 草蛉亚跳小蜂
'cao'luo'huang 草裸蝗
'cao'lv'huang 草绿蝗
'cao'lv'huang'chang'chi'ya'zhong 草绿蝗长翅亚种
'cao'lv'huang'shu 草绿蝗属
'cao'lv'jie'shu 草履蚧属
'cao'lv'ni'beng'huang 草绿拟蹦蝗
'cao'lv'yi'se'huang 草绿异色蝗
'cao'mang'chun'shu 草盲蝽属
'cao'mang'guo'zhu 草芒果蛛
'cao'mao'jing'ye'e 草毛胫夜蛾
'cao'mei'an'xing'gen'xiang 草莓暗星根象
'cao'mei'bai'bian'chang'chun 草莓白边长蝽
'cao'mei'cha'jiao'feng 草莓叉角蜂
'cao'mei'chang'chun 草莓长蝽
'cao'mei'duan'hui'xiang 草莓短喙象
'cao'mei'guan'xiang 草莓冠象
'cao'mei'jie'chi'fen'shi 草莓结翅粉虱
'cao'mei'lan'bu'jia 草莓婪步甲
'cao'mei'lan'ye'jia 草莓蓝叶甲
'cao'mei'mao'guan'ya 草莓毛管蚜
'cao'mei'wu'ding'mao'ya 草莓五钉毛蚜
'cao'mei'xi'yao'ye'feng 草莓细腰叶蜂
'cao'mei'ye'feng 草莓叶蜂
'cao'mei'ye'feng'shu 草莓叶蜂属
'cao'mei'ye'jia 草莓叶甲
'cao'mei'yi'xiong'chang'chun 草莓缢胸长蝽
'cao'mei'yi'zhou'e 草莓蚁舟蛾
'cao'mei'zhong'liu'ding'mao'ya 草莓中瘤钉毛蚜
'cao'meng'shu 草蜢属
'cao'mi'gen'ya 草米根蚜
'cao'mi'wu'wang'chang'guan'ya 草米无网长管蚜
'cao'mi'wu'wang'chao 草米无网朝
'cao'mian'fen'jie 草绵粉蚧
'cao'ming'ke 草螟科
'cao'ming'shu 草螟属
'cao'ming'shuang'ji'ji'feng 草螟双脊姬蜂
'cao'ming'ya'ke 草螟亚科
'cao'mu'xi'cai'ban'ya 草木樨彩斑蚜
'cao'mu'xi'gen'liu'xiang 草木樨根瘤象
'cao'mu'xi'li'xiang 草木犀梨象
'cao'na'cao'ling 槽纳草蛉
'cao'nong'die'shu 糙弄蝶属
'cao'nong'die'shu 草弄蝶属
'cao'pi'ji'ma 草皮蓟马
'cao'pi'wang'chun 糙皮网蝽
'cao'pi'wang'chun'shu 糙皮网蝽属
'cao'pi'xiao'yao'zhu 草皮逍遥蛛
'cao'qi'jiao'zhui'huang 草栖角锥蝗
'cao'qi'mao'cong'zhu 草栖毛丛蛛
'cao'qi'qiu'zhu 草栖球蛛
'cao'rong'jie 草绒蚧
'cao'rong'she'feng'die 糙绒麝凤蝶
'cao'shao'hui'gu 草梢蟪蛄
'cao'tong'yuan'chun 草同缘蝽
'cao'xi 草蟋
'cao'xi'chun'ji'feng 糙犀唇姬蜂
'cao'xi'e'shu 草细蛾属
'cao'xia'ji'ma 草狭蓟马
'cao'xiao'juan'e'shu 草小卷蛾属
'cao'xing'dan'nie 槽形单啮
'cao'ye'chan'shu 草叶蝉属
'cao'ye'jia'shu 草叶甲属
'cao'ye'ma'ying 槽叶麻蝇
'cao'yi'fen'jie 草异粉蚧
'cao'yu'zhu 糙羽蛛
'cao'yuan 草原
'cao'yuan'ge'pi 草原革蜱
'cao'yuan'mao'chong 草原毛虫
'cao'yuan'mao'chong'ji'xiao'feng 草原毛虫姬小蜂
'cao'yuan'mao'chong'jin'xiao'feng 草原毛虫金小蜂
'cao'yuan'mao'chong'shu 草原毛虫属
'cao'yuan'xi 草原蟋
'cao'yuan'xiong'feng 草原熊蜂
'cao'yuan'xue'pi 草原血蜱
'cao'yuan'ya'zhong 草原亚螽
'cao'yuan'ye'jiao'shu 草原叶角属
'cao'yuan'yi'zhao'huang 草原异爪蝗
'cao'yuan'ying'pi 草原硬蜱
'cao'yuan'ying'ye'jia 草原萤叶甲
'cao'yuan'yuan'yi 草原原蚁
'cao'yuan'zhu'jie'chong 草原竹节虫
'cao'za'ji'feng'shu 槽杂姬蜂属
'cao'zhong'ke 草螽科
'cao'zhong'shu 草螽属
'cao'zhong'ya'ke 草螽亚科
'cao'zhong'ying'shu 草种蝇属
'cao'zhu'shu 草蛛属
'ce'ao'yuan'jian'feng 侧凹缘茧蜂
'ce'bai'qian'ye'jin'yin'e 侧柏潜叶金银蛾
'ce'bai'qie'ye'xiang 侧柏切叶象
'ce'bai'shao'mao'ya'jian'feng 侧柏少毛蚜茧蜂
'ce'bai'yi'wen 侧白伊蚊
'ce'ban'ai'zhu 侧斑艾蛛
'ce'ban'jiao'chan'shu 侧瓣角蝉属
'ce'ban'wang'chi'chan 侧斑网翅蝉
'ce'ban'yi'li'jin'gui 侧斑异丽金龟
'ce'bian'gong'bei'yi 侧扁弓背蚁
'ce'bian'ji'jian'feng 侧扁脊茧蜂
'ce'bian'yan'tiao'chun 侧边盐跳蝽
'ce'cha'shou'yan'xun'wen 侧叉首眼蕈蚊
'ce'chi'chu'huang 侧翅雏蝗
'ce'ci'chun 侧刺蝽
'ce'ci'chun'shu 侧刺蝽属
'ce'ci'ling'wen'ye'chan 侧刺菱纹叶蝉
'ce'ci'liu'zha 侧刺瘤蚱
'ce'ci'tiao'jia'shu 侧刺跳甲属
'ce'dai'ji'jian'feng 侧带脊茧蜂
'ce'dian'jiao'yi'chun 侧点娇异蝽
'ce'ding'bo'zha 侧顶波蚱
'ce'dun'ji'ying'shu 侧盾寄蝇属
'ce'duo'ci'yi 侧多刺蚁
'ce'fan'hua'lv'lu'zhong 侧反华绿露螽
'ce'feng'duan'fang'tou'ni'feng 侧缝椴方头泥蜂
'ce'fu'ji'jian'feng 侧腹脊茧蜂
'ce'fu'ye'feng'shu 侧附叶蜂属
'ce'gou'jian'feng'shu 侧沟茧蜂属
'ce'gu'huang 侧觚蝗
'ce'gu'huang'shu 侧觚蝗属
'ce'gu'mu'li'jie 侧骨牡蛎蚧
'ce'gu'shu'jing'huang 侧觚束颈蝗
'ce'han'ye'feng'shu 侧蚶叶蜂属
'ce'hei'bian'jiao'fei'shi 侧黑扁角飞虱
'ce'hei'dian'liu'ji'feng'zhi'ming'ya'zhong 侧黑点瘤姬蜂指名亚种
'ce'hei'kuan'tou'gan'ying 侧黑宽头秆蝇
'ce'hua'ying'ya'ke 厕花蝇亚科
'ce'huang'te'lai'shi'ying 侧黄特赖实蝇
'ce'ji'ban'ya'shu 侧棘斑蚜属
'ce'ji'jian'feng 侧脊茧蜂
'ce'ji'jiao'xiong'ye'jia 侧脊角胸叶甲
'ce'jian'fu'chang'li'jie 侧坚副长蛎蚧
'ce'jian'li'chun 侧尖荔蝽
'ce'jian'li'chun'shu 侧尖荔蝽属
'ce'jiao'ju'xiong'jin'xiao'feng 侧角矩胸金小蜂
'ce'jiao'xia'zha 侧角狭蚱
'ce'jiao'ying'bai'yi 侧角楹白蚁
'ce'ju'zu'zhu 侧锯足蛛
'ce'liu'ji'feng'shu 侧瘤姬蜂属
'ce'mao'cao'zhong'ying 侧毛草种蝇
'ce'mao'wei'hui'ying 侧毛尾秽蝇
'ce'mo'luo'qiang'lang 侧墨裸蜣螂
'ce'tan'zhu 侧坦蛛
'ce'tiao'ban'fen'die 侧条斑粉堞
'ce'tiao'ji'ying 侧条寄蝇
'ce'tiao'rong'mao'ji'ying 侧条茸毛寄蝇
'ce'tiao'xiao'dun'piao'chong 侧条小盾瓢虫
'ce'tu'ma'ying 侧突麻蝇
'ce'wen'huang'hu'feng'shu 侧纹黄胡蜂属
'ce'xia'fu'hu'feng'shu 侧狭腹胡蜂属
'ce'ya'wai'jian'feng'shu 侧芽外茧蜂属
'ce'ye'e'shu 策夜蛾属
'ce'yi'fu'hu'feng'shu 侧异腹胡蜂属
'ce'ying'ji'feng'shu 厕蝇姬蜂属
'ce'ying'shu 厕蝇属
'ce'zhi'wei'e'yan'xun'wen 侧指伪轭眼蕈蚊
'ce'zhi'wen'e'shu 侧枝纹蛾属
'ce'zhu'hui'die'shu 侧珠灰蝶属
'ce'zhu'wu'ya 箣竹舞蚜
'ce'zong'shi'ying'shu 侧鬃实蝇属
'cen'bai'dian'ye'feng 梣白点叶蜂
'cen'he'tou'ye'feng 梣褐头叶蜂
'cen'hei'tou'ye'feng 梣黑头叶蜂
'cen'hei'ye'feng 梣黑叶蜂
'cen'juan'ye'mian'ya 梣卷叶绵蚜
'cen'mang'chun 梣盲蝽
'cen'mu'juan'ji'xi'e 梣木卷计细蛾
'cen'mu'shi 梣木虱
'cen'shi'xiang 梣实象
'cen'tou'chi'e'shu 梣透翅蛾属
'cen'xiang'fen'jie 梣祥粉蚧
'cen'ye'duo'tai'mao'ya 梣叶多态毛蚜
'cen'ye'qi'ying'wen 梣叶槭瘿蚊
'cen'yi'guan'ya 梣缢管蚜
'cen'zhu'yuan'chun 梣蛛缘蝽
'cen'zong'tou'ye'feng 梣棕头叶蜂
'ceng'liu'ya 曾瘤蚜
'ceng'ye'e'shu 层夜蛾属
'cha'ai'mian'feng 叉矮面蜂
'cha'ai'mian'feng'gao'jia'suo'ya'zhong 叉矮面蜂高加索亚种
'cha'bai'dian'xiao'chun'rong'jian'feng 茶白点小蠢绒茧蜂
'cha'bai'yi'shu 叉白蚁属
'cha'ban'chang'fang'zhu 叉斑长纺蛛
'cha'ban'chi'ao'zhu 叉斑齿螯蛛
'cha'ban'ci'zu'zhu 叉斑刺足蛛
'cha'ban'du'e 茶斑毒蛾
'cha'ban'hua'ji 叉斑华襀
'cha'ban'ming'shu 叉斑螟属
'cha'ban'nong'die 茶斑弄蝶
'cha'bao'ji'mao'wen 叉抱襀毛蚊
'cha'bi'feng 叉壁蜂
'cha'bian'jiao'ye'jia 茶扁角叶甲
'cha'bian'wu'ye'chan 茶扁乌叶蝉
'cha'biao'huang'ye'feng 茶藨黄叶蜂
'cha'biao'jing'feng 茶藨茎蜂
'cha'biao'ku'cai'chao'liu'ya 茶藨苦菜超瘤蚜
'cha'bing'dun'jie 茶并盾蚧
'cha'bu'cha'er'chun 察布查尔蝽
'cha'bu'cha'shuo'chun 察布查蒴蝽
'cha'can'e'shu 茶蚕蛾属
'cha'can'shu 茶蚕属
'cha'cao'ling'shu 叉草蛉属
'cha'chang'bai'jie 茶长白蚧
'cha'chang'jie 茶长蚧
'cha'chi'chun 茶翅蝽
'cha'chi'chun'shu 茶翅蝽属
'cha'chi'e'shu 碴尺蛾属
'cha'chi'ya'mu 差翅亚目
'cha'chong'chang'ti'jian'feng 茶虫长体茧蜂
'cha'chun 叉蝽
'cha'chun'shu 叉蝽属
'cha'chun'yi'shu 叉唇蚁属
'cha'ci'bian'jiao'fei'shi 叉刺扁角飞虱
'cha'ci'e'shu 姹刺蛾属
'cha'ci'juan'ji 叉刺卷襀
'cha'ci'li'shi'fei'shi 叉刺黎氏飞虱
'cha'ci'mang'chun 茶刺盲蝽
'cha'ci'tie'jia 叉刺铁甲
'cha'ci'wang'chun'shu 叉刺网蝽属
'cha'dai'chi'e'shu 叉带尺蛾属
'cha'dai'e 茶带蛾
'cha'dai'ji'ma 茶带蓟马
'cha'dai'wen'ci'e'rong'jian'feng 茶带纹刺蛾绒茧蜂
'cha'dan'shuang'chi'e 茶担霜尺蛾
'cha'dan'tui'dun'jie 茶单蜕盾蚧
'cha'diao'chi'e'shu 茶雕翅蛾属
'cha'du'e 茶毒蛾
'cha'du'e'hei'luan'feng 茶毒蛾黑卵蜂
'cha'du'e'xi'e'ji'feng 茶毒蛾细颚姬蜂
'cha'du'e'yi'dian'ji'feng 茶毒蛾一点姬蜂
'cha'duan'fei'da'wen 叉端蜚大蚊
'cha'dui'sha'zhu'e 茶堆砂蛀蛾
'cha'dun'jie'shu 叉盾蚧属
'cha'dun'lie'chun'shu 叉盾猎蝽属
'cha'duo'ci'yi 叉多刺蚁
'cha'e'yuan'xi'yi 叉颚原细蚁
'cha'er'cha'ya 茶二叉蚜
'cha'fen'tun'fei'sou 叉分臀肥螋
'cha'gang'ji'ying 杈肛寄蝇
'cha'gang'rong'mao'ji'ying 杈肛茸毛寄蝇
'cha'gou'mu'du'e'shu 叉钩木蠹蛾属
'cha'guo'ying 茶果蝇
'cha'ha'cu'kuang'zhu 查哈粗狂蛛
'cha'he'dao'lie'chun 茶褐盗猎蝽
'cha'he'dian'dun'jie 茶褐点盾蚧
'cha'he'lie'chun 茶褐猎蝽
'cha'he'ping'ding'fei'shi 茶褐平顶飞虱
'cha'he'tian'niu 茶褐天牛
'cha'he'yin'nong'die 察褐银弄蝶
'cha'he'zhang'jia'die 茶褐樟蛱蝶
'cha'hei'xing'jie 茶黑星蚧
'cha'hua'chang'li'jie 茶花长蛎蚧
'cha'hua'hong'ji'jiao'chan 茶花红脊角蝉
'cha'hua'xie'zhu 叉花蟹蛛
'cha'huan'ye'ming'shu 叉环野螟属
'cha'huang'ban'feng 叉黄斑蜂
'cha'huang'juan'e'bian'gu'xiao'feng 茶黄卷蛾扁股小蜂
'cha'huang'lv'mang'chun 茶黄绿盲蝽
'cha'huang'ying'ji'ma 茶黄硬蓟马
'cha'hui'die'shu 查灰蝶属
'cha'ji'feng'shu 查姬蜂属
'cha'ji'guan'wang'chun 叉脊冠网蝽
'cha'ji'guan'wang'chun 茶脊冠网蝽
'cha'ji'rong'jian'feng 叉脊绒茧蜂
'cha'ji'shu 叉襀属
'cha'jia'die'shu 叉蛱蝶属
'cha'jia'die'shu 姹蛱蝶属
'cha'jian'guo'ye'feng 茶薦果叶蜂
'cha'jiao'chun 叉角蝽
'cha'jiao'feng'shu 叉角蜂属
'cha'jiao'lv'chang'ji'ding 茶蕉绿长吉丁
'cha'jiao'mang'chun 茶角盲蝽
'cha'jiao'ye'feng'ke 叉角叶蜂科
'cha'jiao'yu'chun 叉角玉蝽
'cha'jing'shi'chong'meng'shu 叉径食虫虻属
'cha'jing'shuang'zhou'zhu 叉胫双舟蛛
'cha'jing'tiao'feng 叉胫条蜂
'cha'juan'e'ai'ji'feng 茶卷蛾埃姬蜂
'cha'juan'e'bian'gu'xiao'feng 茶卷蛾扁股小蜂
'cha'juan'e'chang'ju'jian'feng 茶卷蛾长距茧蜂
'cha'juan'e'chang'wei'feng 茶卷蛾长尾蜂
'cha'juan'e'gao'feng'ji'feng 茶卷蛾高缝姬蜂
'cha'juan'e'ji'feng 茶卷蛾姬蜂
'cha'juan'e'jian'feng 茶卷蛾茧蜂
'cha'juan'e'qin'ji'feng 茶卷蛾亲姬蜂
'cha'juan'e'rong'jian'feng 茶卷蛾绒茧蜂
'cha'juan'e'shu 叉卷蛾属
'cha'juan'e'xuan'jian'feng 茶卷蛾悬茧蜂
'cha'juan'e'zhou'feng 茶卷蛾绉蜂
'cha'jun'pei'chong 茶军配虫
'cha'kang'jie 茶糠蚧
'cha'ku'ye'e'shu 茶枯叶蛾属
'cha'kuan'xiong'ying'hu 叉宽胸蝇虎
'cha'li'nong'die'shu 查里弄蝶属
'cha'li'ying 叉丽蝇
'cha'li'ying'shu 叉丽蝇属
'cha'liu'zhan'jie 茶瘤毡蚧
'cha'lv'chi'e'shu 岔绿尺蛾属
'cha'lv'mang'chun 茶绿盲蝽
'cha'ma'xie'ling'xi 查马斜蛉蟋
'cha'ma'ying 叉麻蝇
'cha'ma'ying'shu 叉麻蝇属
'cha'mai'chi'e'shu 叉脉尺蛾属
'cha'mang'yan'ying'shu 叉芒眼蝇属
'cha'mao'chong 茶毛虫
'cha'mao'chong'xi'e'ji'feng 茶毛虫细颚姬蜂
'cha'mao'wen'shu 叉毛蚊属
'cha'mao'xia'nie 叉毛狭啮
'cha'mi'ya'jian'feng 茶蘼蚜茧蜂
'cha'mian'fen'jie 茶绵粉蚧
'cha'mian'la'jie 茶绵蜡蚧
'cha'ming 茶螟
'cha'mu'e'shu 叉木蛾属
'cha'mu'e'shu 茶木蛾属
'cha'nan'qian'ying 茶南潜蝇
'cha'ni'lun'jie 茶拟轮蚧
'cha'ni'ping'fu'zhu 叉拟平腹蛛
'cha'ni'yuan'dun'jie 茶拟圆盾蚧
'cha'nie'chong 茶啮虫
'cha'nong'die'shu 姹弄蝶属
'cha'ou'xiao'chi'zhou'e 察偶肖齿舟蛾
'cha'pian'dun'jie 茶片盾蚧
'cha'po'chong 茶婆虫
'cha'qie'ye'feng 茶切叶蜂
'cha'qing'dai'du'e 茶青带毒蛾
'cha'quan'ying'shu 叉泉蝇属
'cha'quan'ying'zu 叉泉蝇族
'cha'se'li'jin'gui 茶色丽金龟
'cha'se'tai'wan'nang'zhao'ji'feng 茶色台湾囊爪姬蜂
'cha'se'xin'yuan'zhu 茶色新园蛛
'cha'se'zhe'yuan'chun 茶色赭缘蝽
'cha'shao'jian'e'chang'ti'jian'feng 茶梢尖蛾长体茧蜂
'cha'shi'ao'xiao'ye'chan 叉实奥小叶蝉
'cha'shi'ping'fu'zhu 查氏平腹蛛
'cha'shi'si'yi'zhu 查氏似蚁蛛
'cha'shu'mu'zhu'e 茶树木蛀蛾
'cha'shu'san'ci'jiao'chan 茶树三刺角蝉
'cha'tai'zhu 叉苔蛛
'cha'tiao'feng 叉条蜂
'cha'tong'cao'ling 叉通草蛉
'cha'tou'chang'bing'jian'feng 茶头长柄茧蜂
'cha'tou'pi'chun 叉头皮蝽
'cha'tu'ban'yu'ling 叉突斑鱼蛉
'cha'tu'bing'tuo'wu'meng 叉突柄驼舞虻
'cha'tu'cha'ji 叉突叉襀
'cha'tu'fu'zhu 叉突腹蛛
'cha'tu'jie 叉突介
'cha'tu'ma'lian 岔突玛蠊
'cha'tu'nuo'ji 叉突诺襀
'cha'tu'qi'ji'mo'chan 叉突歧脊沫蝉
'cha'tu'yi'cao'ling 叉突意草蛉
'cha'tu'you'xi'zhong 叉突优蟋螽
'cha'tu'yuan'e 叉突原蛾
'cha'tu'yuan'qi'zhong 岔突原栖螽
'cha'tu'zao'ying 叉突蚤蝇
'cha'tun'hua'xiao 叉臀华校
'cha'wei'cha'ji 叉尾叉襀
'cha'wei'chang'chun 叉尾长蝽
'cha'wei'chang'chun'shu 叉尾长蝽属
'cha'wei'hui'ying 叉尾秽蝇
'cha'wei'ji'ding'tian'niu 叉尾吉丁天牛
'cha'wei'jian'zhong 叉尾剑螽
'cha'wei'shou'yan'xun'wen 叉尾首眼蕈蚊
'cha'wei'shu'chang'chun 叉尾束长蝽
'cha'wei'tu'yue'huang 叉尾凸越蝗
'cha'wei'ye'chan 茶微叶蝉
'cha'wei'zhong 叉尾螽
'cha'wei'zhong'shu 叉尾螽属
'cha'wei'zhou'xing'huang 叉尾舟形蝗
'cha'wen'bian'jiao'fei'shi 叉纹扁角飞虱
'cha'wen'su'ying 叉纹觫蝇
'cha'xi'e'rong'jian'feng 茶细蛾绒茧蜂
'cha'xia'fu'shi'ying 茶狭腹实蝇
'cha'xian'chi'e'shu 叉线尺蛾属
'cha'xian'die'shu 茶蚬蝶属
'cha'xian'ni'yin'mai'ye'chan 叉线拟隐脉叶蝉
'cha'xian'qing'chi'e 叉线青尺蛾
'cha'xian'qing'chi'e'shu 叉线青尺蛾属
'cha'xiao'chun'ni'feng'shu 叉小唇泥蜂属
'cha'xiao'juan'e'shu 岔小卷蛾属
'cha'xiao'ye'chan'shu 叉小叶蝉属
'cha'xin'bai'yi 茶新白蚁
'cha'xin'mu'wei 茶新木螱
'cha'xing'chun 叉形蝽
'cha'xing'da'zhui'zao 叉形大锥蚤
'cha'xing'gai'zao 叉形盖蚤
'cha'xing'ma'ying 叉形麻蝇
'cha'xiong'hua'chun'shu 叉胸花蝽属
'cha'ya'di'feng 察雅地蜂
'cha'ya'jiao'e 察雅角蛾
'cha'ya'li'la'chan 察雅丽蜡蝉
'cha'ya'li'xiong'feng 察雅丽熊蜂
'cha'ya'wu'zhu 察雅舞蛛
'cha'ya'yu'suo'jin'xiao'feng 察雅虞索金小蜂
'cha'yan'die'shu 叉眼蝶属
'cha'ye'bai'du'e 茶叶白毒蛾
'cha'ye'jia 茶叶甲
'cha'yi'zhu 叉蚁蛛
'cha'yin'ban'zhu 叉银斑蛛
'cha'ying'gao'ying 叉影缟蝇
'cha'ying'jiao'jie 茶硬胶蚧
'cha'ying'shu 叉蝇属
'cha'yu'bing'zao 察隅病蚤
'cha'yu'chang'ju'huang 察隅长距蝗
'cha'yu'chi'tang 察隅齿螳
'cha'yu'chu'huang 察隅雏蝗
'cha'yu'gu'xiao 察隅股校
'cha'yu'hua'kang 察隅华康
'cha'yu'jia'huang 察隅戛蝗
'cha'yu'jing'tang 察隅静螳
'cha'yu'lin 察隅鳞
'cha'yu'liu'wang'ya 察隅瘤网蚜
'cha'yu'meng 察隅虻
'cha'yu'san'bai'yi 察隅散白蚁
'cha'yu'xiao'chang'guan'ya 察隅小长管蚜
'cha'yu'xiao'dao'tang 察隅小刀螳
'cha'yu'zhou'e'shu 姹羽舟蛾属
'cha'yuan'chi'e'shu 岔缘尺蛾属
'cha'yuan'dian'kang'jie 茶圆点糠蚧
'cha'yuan'dian'pian'dun'jie 茶圆点片盾蚧
'cha'yuan'e'qie'ye'yi 叉圆颚切叶蚁
'cha'yun'wen'chi'e 茶云纹尺蛾
'cha'zao'shu 叉蚤属
'cha'zao'ya'ke 叉蚤亚科
'cha'zhan'hua'ying'wen 茶蘸花瘿蚊
'cha'zhi'da'bai'ye'chan 茶枝大白叶蝉
'cha'zhi'ta'ke'zhu 叉肢塔克蛛
'cha'zhi'ye'e'shu 茶织叶蛾属
'cha'zhou'e'shu 查舟蛾属
'cha'zhui'bo'tui'huang 叉椎波腿蝗
'cha'zi'jiao'jie 茶紫胶蚧
'cha'zi'shi'ying 茶籽实蝇
'cha'zu'bing'liu'ya'jian'feng 茶足柄瘤蚜茧蜂
'cha'zu'ya'jian'feng 茶足蚜茧蜂
'chai'da'mu'dian'chi'ying 柴达木点池蝇
'chai'da'mu'shu'jing'huang 柴达木束颈蝗
'chai'gu'hui'die'shu 柴谷灰蝶属
'chai'hui'die'shu 柴灰碟属
'chan'bao'jia'die 蟾豹蛱蝶
'chan'bao'zhu 铲豹蛛
'chan'chu'ji'ying'shu 蟾蜍寄蝇属
'chan'chu'ling'fu'zhu 蟾蜍菱腹蛛
'chan'chu'qu'fu'zhu 蟾蜍曲腹蛛
'chan'chu'yi'tiao'ya 蟾蜍依跳蚜
'chan'chun 蟾蝽
'chan'chun'ke 蟾蝽科
'chan'chun'shu 蝉蝽属
'chan'cuo'shu 蟾错属
'chan'dun'jie'shu 铲盾蚧属
